label,data
name,"<button type=""button"" name=""save-for-later"" aria-label=""Save for Later"">Save for Later</button>"
id,"<button type=""button"" id=""submit-feedback"" aria-label=""Submit Feedback"">Submit Feedback</button>"
name,"<button type=""button"" name=""help"" aria-label=""Help"">Help</button>"
id,"<button type=""button"" id=""play-video"" aria-label=""Play Video"">Play Video</button>"
name,"<button type=""button"" name=""contact-support"" aria-label=""Contact Support"">Contact Support</button>"
id,"<button type=""button"" id=""expand-details"" aria-label=""Expand Details"">Expand</button>"
name,"<button type=""button"" name=""close-panel"" aria-label=""Close Panel"">Close Panel</button>"
id,"<button type=""button"" id=""open-modal"" aria-label=""Open Modal"">Open Modal</button>"
name,"<button type=""button"" name=""edit-profile"" aria-label=""Edit Profile"">Edit Profile</button>"
id,"<button type=""button"" id=""download-file"" aria-label=""Download File"">Download</button>"
name,"<button type=""button"" name=""cancel-order"" aria-label=""Cancel Order"">Cancel Order</button>"
id,"<button type=""button"" id=""show-more"" aria-label=""Show More"">Show More</button>"
name,"<button type=""button"" name=""newsletter-signup"" aria-label=""Sign Up for Newsletter"">Sign Up</button>"
id,"<button type=""button"" id=""refresh-page"" aria-label=""Refresh Page"">Refresh</button>"
name,"<button type=""button"" name=""toggle-menu"" aria-label=""Toggle Menu"">Toggle Menu</button>"
id,"<button type=""button"" id=""go-to-checkout"" aria-label=""Go to Checkout"">Go to Checkout</button>"
name,"<button type=""button"" name=""request-info"" aria-label=""Request Info"">Request Info</button>"
id,"<button type=""button"" id=""change-password"" aria-label=""Change Password"">Change Password</button>"
name,"<button type=""button"" name=""view-profile"" aria-label=""View Profile"">View Profile</button>"
id,"<button type=""button"" id=""clear-search"" aria-label=""Clear Search"">Clear Search</button>"
name,"<button type=""button"" name=""add-review"" aria-label=""Add Review"">Add Review</button>"
id,"<button type=""button"" id=""confirm-action"" aria-label=""Confirm Action"">Confirm</button>"
name,"<button type=""button"" name=""open-settings"" aria-label=""Open Settings"">Open Settings</button>"
id,"<button type=""button"" id=""buy-now"" aria-label=""Buy Now"">Buy Now</button>"
name,"<button type=""button"" name=""start-trial"" aria-label=""Start Trial"">Start Trial</button>"
id,"<button type=""button"" id=""view-orders"" aria-label=""View Orders"">View Orders</button>"
name,"<button type=""button"" name=""set-reminder"" aria-label=""Set Reminder"">Set Reminder</button>"
id,"<button type=""button"" id=""toggle-sidebar"" aria-label=""Toggle Sidebar"">Toggle Sidebar</button>"
name,"<button type=""button"" name=""show-notifications"" aria-label=""Show Notifications"">Show Notifications</button>"
id,"<button type=""button"" id=""update-info"" aria-label=""Update Info"">Update Info</button>"
name,"<button type=""button"" name=""reset-password"" aria-label=""Reset Password"">Reset Password</button>"
id,"<button type=""button"" id=""confirm-delete"" aria-label=""Confirm Delete"">Confirm Delete</button>"
name,"<button type=""button"" name=""view-invoice"" aria-label=""View Invoice"">View Invoice</button>"
id,"<button type=""button"" id=""toggle-footer"" aria-label=""Toggle Footer"">Toggle Footer</button>"
name,"<button type=""button"" name=""remove-favorite"" aria-label=""Remove Favorite"">Remove Favorite</button>"
id,"<button type=""button"" id=""share"" aria-label=""Share"">Share</button>"
name,"<button type=""button"" name=""view-details"" aria-label=""View Details"">View Details</button>"
id,"<button type=""button"" id=""show-sidebar"" aria-label=""Show Sidebar"">Show Sidebar</button>"
name,"<button type=""button"" name=""open-chat"" aria-label=""Open Chat"">Open Chat</button>"
id,"<button type=""button"" id=""print"" aria-label=""Print"">Print</button>"
name,"<button type=""button"" name=""apply-filters"" aria-label=""Apply Filters"">Apply Filters</button>"
id,"<button type=""button"" id=""submit-feedback"" aria-label=""Submit Feedback"">Submit Feedback</button>"
name,"<button type=""button"" name=""add-to-list"" aria-label=""Add to List"">Add to List</button>"
id,"<button type=""button"" id=""play"" aria-label=""Play"">Play</button>"
name,"<button type=""button"" name=""buy-gift-card"" aria-label=""Buy Gift Card"">Buy Gift Card</button>"
id,"<button type=""button"" id=""close-popup"" aria-label=""Close Popup"">Close Popup</button>"
name,"<button type=""button"" name=""view-history"" aria-label=""View History"">View History</button>"
id,"<button type=""button"" id=""open-gallery"" aria-label=""Open Gallery"">Open Gallery</button>"
name,"<button type=""button"" name=""download-report"" aria-label=""Download Report"">Download Report</button>"
id,"<button type=""button"" id=""confirm-booking"" aria-label=""Confirm Booking"">Confirm Booking</button>"
name,"<button type=""button"" name=""reset-filters"" aria-label=""Reset Filters"">Reset Filters</button>"
id,"<button type=""button"" id=""show-modal"" aria-label=""Show Modal"">Show Modal</button>"
name,"<button type=""button"" name=""send-message"" aria-label=""Send Message"">Send Message</button>"
id,"<button type=""button"" id=""edit"" aria-label=""Edit"">Edit</button>"
name,"<button type=""button"" name=""save-draft"" aria-label=""Save Draft"">Save Draft</button>"
id,"<button type=""button"" id=""close-dialog"" aria-label=""Close Dialog"">Close Dialog</button>"
name,"<button type=""button"" name=""confirm-action"" aria-label=""Confirm Action"">Confirm Action</button>"
id,"<button type=""button"" id=""toggle-theme"" aria-label=""Toggle Theme"">Toggle Theme</button>"
name,"<button type=""button"" name=""submit-order"" aria-label=""Submit Order"">Submit Order</button>"
id,"<button type=""button"" id=""add-comment"" aria-label=""Add Comment"">Add Comment</button>"
name,"<button type=""button"" name=""toggle-view"" aria-label=""Toggle View"">Toggle View</button>"
id,"<button type=""button"" id=""retry"" aria-label=""Retry"">Retry</button>"
name,"<button type=""button"" name=""load-more"" aria-label=""Load More"">Load More</button>"
id,"<button type=""button"" id=""open-settings"" aria-label=""Open Settings"">Open Settings</button>"
name,"<button type=""button"" name=""confirm-subscription"" aria-label=""Confirm Subscription"">Confirm Subscription</button>"
id,"<button type=""button"" id=""send-invite"" aria-label=""Send Invite"">Send Invite</button>"
name,"<button type=""button"" name=""update-profile"" aria-label=""Update Profile"">Update Profile</button>"
id,"<button type=""button"" id=""cancel-subscription"" aria-label=""Cancel Subscription"">Cancel Subscription</button>"
name,"<button type=""button"" name=""start-quiz"" aria-label=""Start Quiz"">Start Quiz</button>"
id,"<button type=""button"" id=""add-new"" aria-label=""Add New"">Add New</button>"
name,"<button type=""button"" name=""view-report"" aria-label=""View Report"">View Report</button>"
id,"<button type=""button"" id=""upload"" aria-label=""Upload"">Upload</button>"
name,"<button type=""button"" name=""search"" aria-label=""Search"">Search</button>"
id,"<button type=""button"" id=""save-file"" aria-label=""Save File"">Save File</button>"
name,"<button type=""button"" name=""order-history"" aria-label=""Order History"">Order History</button>"
id,"<button type=""button"" id=""view-all"" aria-label=""View All"">View All</button>"
name,"<button type=""button"" name=""open-menu"" aria-label=""Open Menu"">Open Menu</button>"
id,"<button type=""button"" id=""confirm-logout"" aria-label=""Confirm Logout"">Confirm Logout</button>"
name,"<button type=""button"" name=""manage-account"" aria-label=""Manage Account"">Manage Account</button>"
id,"<button type=""button"" id=""check-updates"" aria-label=""Check Updates"">Check Updates</button>"
name,"<button type=""button"" name=""buy-ticket"" aria-label=""Buy Ticket"">Buy Ticket</button>"
id,"<button type=""button"" id=""show-all"" aria-label=""Show All"">Show All</button>"
name,"<button type=""button"" name=""clear-cache"" aria-label=""Clear Cache"">Clear Cache</button>"
class,"<button aria-hidden=""true"" aria-label=""Submit the form."" role=""button"" tabindex=""-1"" class=""btn-submit"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Submit</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Open settings menu."" role=""button"" tabindex=""-1"" class=""btn-settings"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Settings</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""View notifications."" role=""button"" tabindex=""-1"" class=""btn-notifications"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Notifications</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Search for items."" role=""button"" tabindex=""-1"" class=""btn-search"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Search</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Open chat."" role=""button"" tabindex=""-1"" class=""btn-chat"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Chat</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Download file."" role=""button"" tabindex=""-1"" class=""btn-download"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Download</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Play video."" role=""button"" tabindex=""-1"" class=""btn-play"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Play</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Upload file."" role=""button"" tabindex=""-1"" class=""btn-upload"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Upload</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Save changes."" role=""button"" tabindex=""-1"" class=""btn-save"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Save</span></div></div></button>"
class,"<button aria-hidden=""true"" aria-label=""Cancel action."" role=""button"" tabindex=""-1"" class=""btn-cancel"" type=""button""><div class=""icon-wrapper""><svg viewBox=""0 0 24 24"" aria-hidden=""true"" class=""icon""><g><path d=""M12 3.59l7.457 7.45-1.414 1.42L13 7.41V21h-2V7.41l-5.043 5.05-1.414-1.42L12 3.59z""></path></g></svg><div dir=""ltr"" class=""label"" style=""text-overflow: unset; color: rgb(255, 255, 255);""><span class=""text"" style=""text-overflow: unset;"">Cancel</span></div></div></button>"
id,"<button type=""button"" aria-label=""Close"" class=""close text-uppercase small"" id=""btn-close"">Close</button>"
name,"<button type=""button"" aria-label=""Submit"" class=""submit text-uppercase medium"" name=""btn-submit"">Submit</button>"
id,"<button type=""button"" aria-label=""Cancel"" class=""cancel text-uppercase large"" id=""btn-cancel"">Cancel</button>"
name,"<button type=""button"" aria-label=""Save"" class=""save text-uppercase small"" name=""btn-save"">Save</button>"
id,"<button type=""button"" aria-label=""Delete"" class=""delete text-uppercase medium"" id=""btn-delete"">Delete</button>"
name,"<button type=""button"" aria-label=""Edit"" class=""edit text-uppercase large"" name=""btn-edit"">Edit</button>"
id,"<button type=""button"" aria-label=""Next"" class=""next text-uppercase small"" id=""btn-next"">Next</button>"
name,"<button type=""button"" aria-label=""Previous"" class=""previous text-uppercase medium"" name=""btn-previous"">Previous</button>"
id,"<button type=""button"" aria-label=""Refresh"" class=""refresh text-uppercase large"" id=""btn-refresh"">Refresh</button>"
name,"<button type=""button"" aria-label=""Search"" class=""search text-uppercase small"" name=""btn-search"">Search</button>"
id,"<button type=""button"" aria-label=""Submit"" class=""submit text-uppercase medium"" id=""btn-submit"">Submit</button>"
name,"<button type=""button"" aria-label=""Cancel"" class=""cancel text-uppercase small"" name=""btn-cancel"">Cancel</button>"
id,"<button type=""button"" aria-label=""Save"" class=""save text-uppercase large"" id=""btn-save"">Save</button>"
name,"<button type=""button"" aria-label=""Delete"" class=""delete text-uppercase small"" name=""btn-delete"">Delete</button>"
id,"<button type=""button"" aria-label=""Edit"" class=""edit text-uppercase medium"" id=""btn-edit"">Edit</button>"
name,"<button type=""button"" aria-label=""Next"" class=""next text-uppercase large"" name=""btn-next"">Next</button>"
id,"<button type=""button"" aria-label=""Previous"" class=""previous text-uppercase small"" id=""btn-previous"">Previous</button>"
name,"<button type=""button"" aria-label=""Refresh"" class=""refresh text-uppercase medium"" name=""btn-refresh"">Refresh</button>"
id,"<button type=""button"" aria-label=""Search"" class=""search text-uppercase large"" id=""btn-search"">Search</button>"
name,"<button type=""button"" aria-label=""Submit"" class=""submit text-uppercase small"" name=""btn-submit"">Submit</button>"
id,"<button type=""button"" aria-label=""Cancel"" class=""cancel text-uppercase medium"" id=""btn-cancel"">Cancel</button>"
name,"<button type=""button"" aria-label=""Save"" class=""save text-uppercase small"" name=""btn-save"">Save</button>"
id,"<button type=""button"" aria-label=""Delete"" class=""delete text-uppercase large"" id=""btn-delete"">Delete</button>"
name,"<button type=""button"" aria-label=""Edit"" class=""edit text-uppercase small"" name=""btn-edit"">Edit</button>"
id,"<button type=""button"" aria-label=""Next"" class=""next text-uppercase medium"" id=""btn-next"">Next</button>"
name,"<button type=""button"" aria-label=""Previous"" class=""previous text-uppercase large"" name=""btn-previous"">Previous</button>"
name,"<button type=""button"" aria-label=""Refresh"" class=""refresh text-uppercase small"" id=""btn-refresh"">Refresh</button>"
name,"<button type=""button"" aria-label=""Search"" class=""search text-uppercase medium"" name=""btn-search"">Search</button>"
id,"<button type=""button"" aria-label=""Submit"" class=""submit text-uppercase large"" id=""btn-submit"">Submit</button>"
name,"<button type=""button"" aria-label=""Cancel"" class=""cancel text-uppercase small"" name=""btn-cancel"">Cancel</button>"
id,"<button type=""button"" aria-label=""Save"" class=""save text-uppercase medium"" id=""btn-save"">Save</button>"
name,"<button type=""button"" aria-label=""Delete"" class=""delete text-uppercase large"" name=""btn-delete"">Delete</button>"
id,"<button type=""button"" aria-label=""Edit"" class=""edit text-uppercase small"" id=""btn-edit"">Edit</button>"
name,"<button type=""button"" aria-label=""Next"" class=""next text-uppercase medium"" name=""btn-next"">Next</button>"
id,"<button type=""button"" aria-label=""Previous"" class=""previous text-uppercase large"" id=""btn-previous"">Previous</button>"
name,"<button type=""button"" aria-label=""Refresh"" class=""refresh text-uppercase small"" name=""btn-refresh"">Refresh</button>"
id,"<button type=""button"" aria-label=""Search"" class=""search text-uppercase medium"" id=""btn-search"">Search</button>"
name,"<button type=""button"" aria-label=""Submit"" class=""submit text-uppercase large"" name=""btn-submit"">Submit</button>"
id,"<button type=""button"" aria-label=""Cancel"" class=""cancel text-uppercase medium"" id=""btn-cancel"">Cancel</button>"
name,"<button type=""button"" aria-label=""Save"" class=""save text-uppercase small"" name=""btn-save"">Save</button>"
id,"<button type=""button"" aria-label=""Delete"" class=""delete text-uppercase medium"" id=""btn-delete"">Delete</button>"
name,"<button type=""button"" aria-label=""Edit"" class=""edit text-uppercase large"" name=""btn-edit"">Edit</button>"
id,"<button type=""button"" aria-label=""Next"" class=""next text-uppercase small"" id=""btn-next"">Next</button>"
name,"<button type=""button"" aria-label=""Previous"" class=""previous text-uppercase medium"" name=""btn-previous"">Previous</button>"
id,"<button type=""button"" aria-label=""Refresh"" class=""refresh text-uppercase large"" id=""btn-refresh"">Refresh</button>"
name,"<button type=""button"" aria-label=""Search"" class=""search text-uppercase small"" name=""btn-search"">Search</button>"
id,"<button type=""button"" aria-label=""Submit"" class=""submit text-uppercase medium"" id=""btn-submit"">Submit</button>"
name,"<button type=""button"" aria-label=""Cancel"" class=""cancel text-uppercase large"" name=""btn-cancel"">Cancel</button>"
id,"<button type=""button"" aria-label=""Save"" class=""save text-uppercase medium"" id=""btn-save"">Save</button>"
name,"<button type=""button"" aria-label=""Delete"" class=""delete text-uppercase small"" name=""btn-delete"">Delete</button>"
id,"<button type=""button"" aria-label=""Add to cart"" class=""btn btn-primary btn-lg"" id=""add-to-cart"" data-action=""add"">Add to Cart</button>"
name,"<button type=""button"" aria-label=""View details"" class=""btn btn-secondary btn-sm"" name=""view-details"" data-toggle=""modal"" data-target=""#detailsModal"">View Details</button>"
id,"<button type=""button"" aria-label=""Submit form"" class=""btn btn-success btn-block"" id=""submit-form"" data-form=""mainForm"">Submit Form</button>"
name,"<button type=""button"" aria-label=""Download"" class=""btn btn-info btn-md"" name=""btn-download"" data-url=""/downloads/file"">Download</button>"
id,"<button type=""button"" aria-label=""Save changes"" class=""btn btn-warning btn-xs"" id=""save-changes"" data-save=""true"">Save Changes</button>"
name,"<button type=""button"" aria-label=""Cancel action"" class=""btn btn-danger btn-lg"" name=""cancel-action"" data-confirm=""true"">Cancel Action</button>"
id,"<button type=""button"" aria-label=""Toggle menu"" class=""btn btn-light btn-lg"" id=""toggle-menu"" data-toggle=""collapse"" data-target=""#menu"">Toggle Menu</button>"
name,"<button type=""button"" aria-label=""Load more"" class=""btn btn-dark btn-md"" name=""load-more"" data-load=""true"">Load More</button>"
id,"<button type=""button"" aria-label=""Search items"" class=""btn btn-primary btn-sm"" id=""search-items"" data-search=""true"">Search Items</button>"
name,"<button type=""button"" aria-label=""Confirm"" class=""btn btn-success btn-lg"" name=""confirm-action"" data-action=""confirm"">Confirm</button>"
id,"<button type=""button"" aria-label=""Reject"" class=""btn btn-danger btn-md"" id=""reject"" data-action=""reject"">Reject</button>"
name,"<button type=""button"" aria-label=""Edit profile"" class=""btn btn-info btn-xs"" name=""edit-profile"" data-toggle=""modal"" data-target=""#profileModal"">Edit Profile</button>"
id,"<button type=""button"" aria-label=""Send message"" class=""btn btn-warning btn-sm"" id=""send-message"" data-action=""send"">Send Message</button>"
name,"<button type=""button"" aria-label=""Upload file"" class=""btn btn-primary btn-lg"" name=""upload-file"" data-toggle=""file-upload"">Upload File</button>"
id,"<button type=""button"" aria-label=""Log out"" class=""btn btn-danger btn-md"" id=""logout"" data-action=""logout"">Log Out</button>"
name,"<button type=""button"" aria-label=""Request demo"" class=""btn btn-success btn-lg"" name=""request-demo"" data-toggle=""modal"" data-target=""#demoModal"">Request Demo</button>"
id,"<button type=""button"" aria-label=""Print page"" class=""btn btn-info btn-sm"" id=""print-page"" data-action=""print"">Print Page</button>"
name,"<button type=""button"" aria-label=""Review"" class=""btn btn-warning btn-md"" name=""btn-review"" data-toggle=""modal"" data-target=""#reviewModal"">Review</button>"
id,"<button type=""button"" aria-label=""Download report"" class=""btn btn-secondary btn-lg"" id=""download-report"" data-url=""/reports"">Download Report</button>"
name,"<button type=""button"" aria-label=""Save for later"" class=""btn btn-primary btn-xs"" name=""save-later"" data-action=""save"">Save for Later</button>"
id,"<button type=""button"" aria-label=""Show map"" class=""btn btn-info btn-lg"" id=""show-map"" data-toggle=""modal"" data-target=""#mapModal"">Show Map</button>"
name,"<button type=""button"" aria-label=""Submit feedback"" class=""btn btn-success btn-sm"" name=""submit-feedback"" data-action=""feedback"">Submit Feedback</button>"
id,"<button type=""button"" aria-label=""Find out more"" class=""btn btn-warning btn-md"" id=""find-out-more"" data-toggle=""modal"" data-target=""#infoModal"">Find Out More</button>"
name,"<button type=""button"" aria-label=""Add to favorites"" class=""btn btn-secondary btn-lg"" name=""add-favorites"" data-action=""add"">Add to Favorites</button>"
id,"<button type=""button"" aria-label=""Cancel subscription"" class=""btn btn-danger btn-md"" id=""cancel-subscription"" data-action=""cancel"">Cancel Subscription</button>"
name,"<button type=""button"" aria-label=""Book now"" class=""btn btn-primary btn-lg"" name=""book-now"" data-toggle=""modal"" data-target=""#bookingModal"">Book Now</button>"
id,"<button type=""button"" aria-label=""Share"" class=""btn btn-info btn-md"" id=""share"" data-action=""share"">Share</button>"
name,"<button type=""button"" aria-label=""Rate us"" class=""btn btn-warning btn-xs"" name=""rate-us"" data-toggle=""modal"" data-target=""#ratingModal"">Rate Us</button>"
id,"<button type=""button"" aria-label=""Verify"" class=""btn btn-success btn-lg"" id=""verify"" data-action=""verify"">Verify</button>"
name,"<button type=""button"" aria-label=""Sign up"" class=""btn btn-primary btn-md"" name=""sign-up"" data-action=""signup"">Sign Up</button>"
id,"<button type=""button"" aria-label=""Contact support"" class=""btn btn-secondary btn-sm"" id=""contact-support"" data-toggle=""modal"" data-target=""#supportModal"">Contact Support</button>"
name,"<button type=""button"" aria-label=""Submit inquiry"" class=""btn btn-info btn-xs"" name=""submit-inquiry"" data-action=""submit"">Submit Inquiry</button>"
id,"<button type=""button"" aria-label=""Explore"" class=""btn btn-dark btn-lg"" id=""explore"" data-action=""explore"">Explore</button>"
name,"<button type=""button"" aria-label=""Add to wishlist"" class=""btn btn-success btn-md"" name=""add-wishlist"" data-action=""add"">Add to Wishlist</button>"
id,"<button type=""button"" aria-label=""Unsubscribe"" class=""btn btn-danger btn-xs"" id=""unsubscribe"" data-action=""unsubscribe"">Unsubscribe</button>"
name,"<button type=""button"" aria-label=""Confirm email"" class=""btn btn-primary btn-sm"" name=""confirm-email"" data-action=""confirm"">Confirm Email</button>"
id,"<button type=""button"" aria-label=""Start trial"" class=""btn btn-info btn-lg"" id=""start-trial"" data-action=""trial"">Start Trial</button>"
name,"<button type=""button"" aria-label=""Request support"" class=""btn btn-warning btn-md"" name=""request-support"" data-toggle=""modal"" data-target=""#supportModal"">Request Support</button>"
id,"<button type=""button"" aria-label=""Reset password"" class=""btn btn-secondary btn-sm"" id=""reset-password"" data-action=""reset"">Reset Password</button>"
name,"<button type=""button"" aria-label=""Check status"" class=""btn btn-dark btn-md"" name=""check-status"" data-action=""status"">Check Status</button>"
id,"<button type=""button"" aria-label=""Update profile"" class=""btn btn-primary btn-lg"" id=""update-profile"" data-toggle=""modal"" data-target=""#profileModal"">Update Profile</button>"
name,"<button type=""button"" aria-label=""Subscribe"" class=""btn btn-success btn-sm"" name=""subscribe"" data-action=""subscribe"">Subscribe</button>"
id,"<button type=""button"" aria-label=""Feedback"" class=""btn btn-warning btn-lg"" id=""feedback"" data-action=""feedback"">Feedback</button>"
name,"<button type=""button"" aria-label=""Learn more"" class=""btn btn-secondary btn-md"" name=""learn-more"" data-toggle=""modal"" data-target=""#infoModal"">Learn More</button>"
id,"<button type=""button"" aria-label=""Proceed"" class=""btn btn-danger btn-xs"" id=""proceed"" data-action=""proceed"">Proceed</button>"
name,"<button type=""button"" aria-label=""View cart"" class=""btn btn-info btn-lg"" name=""view-cart"" data-action=""view"">View Cart</button>"
id,"<button type=""button"" aria-label=""Close modal"" class=""btn btn-dark btn-sm"" id=""close-modal"" data-dismiss=""modal"">Close Modal</button>"
name,"<button type=""button"" aria-label=""Complete purchase"" class=""btn btn-primary btn-md"" name=""complete-purchase"" data-action=""complete"">Complete Purchase</button>"
id,"<button type=""button"" aria-label=""Get started"" class=""btn btn-success btn-lg"" id=""get-started"" data-action=""start"">Get Started</button>"
name,"<button type=""button"" aria-label=""Submit review"" class=""btn btn-warning btn-sm"" name=""submit-review"" data-toggle=""modal"" data-target=""#reviewModal"">Submit Review</button>"
id,"<html><body><button id=""submit-btn"">Submit</button></body></html>"
id,"<html><body><button id=""submit"">Submit</button></body></html>"
id,"<html><body><button id=""send-btn"">Send</button></body></html>"
id,"<html><body><button id=""login-btn"">Login</button></body></html>"
id,"<html><body><button id=""register-btn"">Register</button></body></html>"
id,"<html><body><button id=""confirm-btn"">Confirm</button></body></html>"
id,"<html><body><button id=""save-btn"">Save</button></body></html>"
id,"<html><body><button id=""cancel-btn"">Cancel</button></body></html>"
id,"<html><body><button id=""next-btn"">Next</button></body></html>"
id,"<html><body><button id=""previous-btn"">Previous</button></body></html>"
id,"<html><body><button id=""start-btn"">Start</button></body></html>"
id,"<html><body><button id=""finish-btn"">Finish</button></body></html>"
id,"<html><body><button id=""ok-btn"">OK</button></body></html>"
id,"<html><body><button id=""continue-btn"">Continue</button></body></html>"
id,"<html><body><button id=""back-btn"">Back</button></body></html>"
id,"<html><body><button id=""home-btn"">Home</button></body></html>"
id,"<html><body><button id=""logout-btn"">Logout</button></body></html>"
id,"<html><body><button id=""delete-btn"">Delete</button></body></html>"
id,"<html><body><button id=""upload-btn"">Upload</button></body></html>"
id,"<html><body><button id=""download-btn"">Download</button></body></html>"
id,"<html><body><button id=""retry-btn"">Retry</button></body></html>"
id,"<html><body><button id=""reset-btn"">Reset</button></body></html>"
id,"<html><body><button id=""submit-btn"">Submit Now</button></body></html>"
id,"<html><body><button id=""apply-btn"">Apply</button></body></html>"
id,"<html><body><button id=""search-btn"">Search</button></body></html>"
id,"<html><body><button id=""help-btn"">Help</button></body></html>"
id,"<html><body><button id=""edit-btn"">Edit</button></body></html>"
id,"<html><body><button id=""submit-btn"">Submit Form</button></body></html>"
id,"<html><body><button id=""submit-btn"">Send</button></body></html>"
id,"<html><body><button id=""submit-btn"">Proceed</button></body></html"
id,"<html><body><button id=""continue-btn"">Go</button></body></html"
id,"<html><body><button id=""start-btn"">Begin</button></body></html"
id,"<html><body><button id=""finish-btn"">Complete</button></body></html"
id,"<html><body><button id=""next-btn"">Forward</button></body></html"
id,"<html><body><button id=""previous-btn"">Backward</button></body></html>"
id,"<html><body><button id=""ok-btn"">Alright</button></body></html>"
id,"<html><body><button id=""save-btn"">Save Changes</button></body></html>"
id,"<html><body><button id=""cancel-btn"">Abort</button></body></html>"
id,"<html><body><button id=""submit-btn"">Finish</button></body></html>"
id,"<html><body><button id=""submit-btn"">Validate</button></body></html>"
id,"<html><body><button id=""approve-btn"">Approve</button></body></html>"
id,"<html><body><button id=""submit-btn"">Accept</button></body></html>"
id,"<html><body><button id=""submit-btn"">Submit Application</button></body></html>"
id,"<html><body><button id=""confirm-btn"">Confirm Submission</button></body></html>"
id,"<html><body><button id=""go-btn"">Go</button></body></html>"
id,"<html><body><button id=""join-btn"">Join</button></body></html>"
id,"<html><body><button id=""add-btn"">Add</button></body></html>"
id,"<html><body><button id=""subtract-btn"">Subtract</button></body></html>"
id,"<html><body><button id=""multiply-btn"">Multiply</button></body></html>"
